word,level,pos_x,headword_x,pos_y,CEFR_x,CoreInventory 1,CoreInventory 2,Threshold,headword_y,pos,CEFR_y,notes,ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes,AfterDot,Shorthand Split,Shorthand Clean
create,A1,verb,create,verb,A2,,,,,,,,,,,,,,,,,,,,
culture,A1,noun,culture,noun,A1,Nationalities and countries,,"Free time, entertainment",,,,,,,,,,,,,,,,,
cup,A1,noun,cup,noun,A1,Objects and rooms,,Shopping,,,,,,,,,,,,,,,,,
customer,A1,noun,customer,noun,A2,Shopping,,Services,,,,,,,,,,,,,,,,,
cut,A1,verb,cut,noun,B1,Travel and services vocab,,Travel,,,,,,,,,,,,,,,,,
cut,A1,verb,cut,verb,A1,,,,,,,,,,,,,,,,,,,,
dad,A1,noun,dad,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
dance,A1,"noun, verb",dance,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
dance,A1,"noun, verb",dance,verb,A1,,,,,,,,,,,,,,,,,,,,
dancer,A1,noun,dancer,noun,A2,Hobbies and pastimes,,Personal identification,,,,,,,,,,,,,,,,,
dancing,A1,noun,dancing,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
dangerous,A1,adjective,dangerous,adjective,A2,,,,,,,,,,,,,,,,,,,,
dark,A1,adjective,dark,adjective,A1,,,,,,,,,,,,,,,,,,,,
date,A1,noun,date,noun,A1,,,Personal identification,,,,,,,,,,,,,,,,,
date,A1,noun,date,verb,B1,,,,,,,,,,,,,,,,,,,,
daughter,A1,noun,daughter,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
day,A1,noun,day,noun,A1,,,,,,,,,,,,,,,,,,,,
dear,A1,adjective,dear,adjective,A1,,,,,,,,,,,,,,,,,,,,
dear,A1,adjective,dear,noun,B2,,,,,,,,,,,,,,,,,,,,
december,A1,noun,december,noun,A1,,,,,,,,,,,,,,,,,,,,
decide,A1,verb,decide,verb,A2,,,,,,,,,,,,,,,,,,,,
delicious,A1,adjective,delicious,adjective,A1,,,,,,,,,,,,,,,,,,,,
describe,A1,verb,describe,verb,A1,,,,,,,,,,,,,,,,,,,,
description,A1,noun,description,noun,A2,,,,,,,,,,,,,,,,,,,,
design,A1,"noun, verb",design,noun,A1,Arts,,"Free time, entertainment",,,,,,,,,,,,,,,,,
design,A1,"noun, verb",design,verb,B1,,,,,,,,,,,,,,,,,,,,
desk,A1,noun,desk,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
detail,A1,noun,detail,noun,A2,,,,,,,,,,,,,,,,,,,,
dialogue,A1,noun,,,,,,,,,,,,,,,,,,,,,,,
dictionary,A1,noun,dictionary,noun,A1,Objects and rooms,,Education,,,,,,,,,,,,,,,,,
die,A1,verb,die,verb,A2,,,,,,,,,,,,,,,,,,,,
diet,A1,noun,diet,noun,A2,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
difference,A1,noun,difference,noun,A1,,,,,,,,,,,,,,,,,,,,
different,A1,adjective,different,adjective,A1,,,,,,,,,,,,,,,,,,,,
difficult,A1,adjective,difficult,adjective,A1,,,,,,,,,,,,,,,,,,,,
dinner,A1,noun,dinner,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
dirty,A1,adjective,dirty,adjective,A1,,,,,,,,,,,,,,,,,,,,
discuss,A1,verb,discuss,verb,A1,,,,,,,,,,,,,,,,,,,,
dish,A1,noun,dish,noun,A1,Objects and rooms,,Shopping,,,,,,,,,,,,,,,,,
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,59,TA.PRESENT.do.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続く一般動詞(be/do/have以外)に限定,PRESENT.do.AFF,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,59-1,TA.PRESENT.do.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. DEC.,A1.2,A1,A1,A1,A1,名詞句・代名詞に続くものに限定,PRESENT.do.NEG,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,59-2,TA.PRESENT.do.INT.AFF,TENSE/ASPECT: PRESENT (lexicalverbs),AFF. INT.,A1.2,A1,A1,,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,PRESENT.do.INT.AFF,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,59-3,TA.PRESENT.do.INT.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. INT.,,,A1,,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,PRESENT.do.INT.NEG,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,65,TA.PAST.do.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. DEC.,A1.3,A1,A1-C1,A1-C1,,名詞句・代名詞に続く一般動詞(be/do/have以外)に限定,PAST.do.AFF,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,65-1,TA.PAST.do.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. DEC.,A2.1,A2,A1-C1,A2-B2,,名詞句・代名詞に続くものに限定,PAST.do.NEG,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,65-2,TA.PAST.do.INT.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. INT.,A2.1,A2,A1-C1,A2-C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,PAST.do.INT.AFF,do,do
do,A1,"verb, auxiliary verb",do,do-verb,A1,,,,,,,,65-3,TA.PAST.do.INT.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. INT.,,,A1-C1,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,PAST.do.INT.NEG,do,do
doctor,A1,noun,,,,,,,,,,,,,,,,,,,,,,,
dog,A1,noun,dog,noun,A1,,,,,,,,,,,,,,,,,,,,
dollar,A1,noun,dollar,noun,A1,Shopping,,Shopping,,,,,,,,,,,,,,,,,
door,A1,noun,door,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
down,A1,"adverb, preposition",down,adjective,B2,,,,,,,,,,,,,,,,,,,,
down,A1,"adverb, preposition",down,adverb,A1,,,,,,,,,,,,,,,,,,,,
down,A1,"adverb, preposition",down,preposition,A2,,,,,,,,,,,,,,,,,,,,
downstairs,A1,adverb,downstairs,adjective,B1,,,,,,,,,,,,,,,,,,,,
downstairs,A1,adverb,downstairs,adverb,A2,,,,,,,,,,,,,,,,,,,,
draw,A1,verb,draw,noun,A2,,,,,,,,,,,,,,,,,,,,
draw,A1,verb,draw,verb,A1,,,,,,,,,,,,,,,,,,,,
dress,A1,"noun, verb",dress,noun,A1,Clothes,,Shopping,,,,,,,,,,,,,,,,,
dress,A1,"noun, verb",dress,verb,A2,,,,,,,,,,,,,,,,,,,,
drink,A1,"noun, verb",drink,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
drink,A1,"noun, verb",drink,verb,A1,,,,,,,,,,,,,,,,,,,,
drive,A1,verb,drive,noun,A1,Hobbies and pastimes,,Travel,drive,verb,C1,,,,,,,,,,,,,,
drive,A1,verb,drive,noun,A1,Hobbies and pastimes,,Travel,drive,noun,C1,,,,,,,,,,,,,,
drive,A1,verb,drive,verb,A2,,,,drive,verb,C1,,,,,,,,,,,,,,
drive,A1,verb,drive,verb,A2,,,,drive,noun,C1,,,,,,,,,,,,,,
driver,A1,noun,driver,noun,A1,Hobbies and pastimes,Work and Jobs,Personal identification,,,,,,,,,,,,,,,,,
during,A1,preposition,during,preposition,A2,,,,,,,,,,,,,,,,,,,,
dvd,A1,noun,dvd,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
each,A1,"determiner, pronoun, adverb",each,determiner,A1,,,,,,,,,,,,,,,,,,,,
each,A1,"determiner, pronoun, adverb",each,pronoun,A1,,,,,,,,,,,,,,,,,,,,
ear,A1,noun,ear,noun,A1,,,Health and body care,,,,,,,,,,,,,,,,,
early,A1,"adjective, adverb",early,adjective,A2,,,,,,,,,,,,,,,,,,,,
early,A1,"adjective, adverb",early,adverb,A1,,,,,,,,,,,,,,,,,,,,
east,A1,"noun, adjective, adverb",east,adjective,A2,,,,,,,,,,,,,,,,,,,,
east,A1,"noun, adjective, adverb",east,adverb,A2,,,,,,,,,,,,,,,,,,,,
east,A1,"noun, adjective, adverb",east,noun,A2,,,,,,,,,,,,,,,,,,,,
easy,A1,adjective,easy,adjective,A1,,,,,,,,,,,,,,,,,,,,
eat,A1,verb,eat,verb,A1,,,,,,,,,,,,,,,,,,,,
egg,A1,noun,egg,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
eight,A1,,eight,number,A1,,,,,,,,,,,,,,,,,,,,
eighteen,A1,,eighteen,number,A1,,,,,,,,,,,,,,,,,,,,
eighty,A1,,eighty,number,A1,,,,,,,,,,,,,,,,,,,,
elephant,A1,noun,elephant,noun,A2,,,,,,,,,,,,,,,,,,,,
eleven,A1,,eleven,number,A1,,,,,,,,,,,,,,,,,,,,
else,A1,adverb,else,adverb,A1,,,,,,,,,,,,,,,,,,,,
email,A1,"noun, verb",email,verb,A2,,,,,,,,,,,,,,,,,,,,
end,A1,"noun, verb",end,noun,A1,,,,,,,,,,,,,,,,,,,,
end,A1,"noun, verb",end,verb,A2,,,,,,,,,,,,,,,,,,,,
enjoy,A1,verb,enjoy,verb,A1,,,,,,,,,,,,,,,,,,,,
enough,A1,"determiner, pronoun, adverb",enough,adverb,A2,,,,,,,,43,RBDEG.enough,ADJ/ADV enough (except for 'not enough'),,B2.1,B2,,B1-C1,A2,{not} enoughを除く;enoughがJJまたはNNと誤認識されていることもある,enough,enough,enough
enough,A1,"determiner, pronoun, adverb",enough,determiner,A2,,,,,,,,43,RBDEG.enough,ADJ/ADV enough (except for 'not enough'),,B2.1,B2,,B1-C1,A2,{not} enoughを除く;enoughがJJまたはNNと誤認識されていることもある,enough,enough,enough
enough,A1,"determiner, pronoun, adverb",enough,pronoun,A2,,,,,,,,43,RBDEG.enough,ADJ/ADV enough (except for 'not enough'),,B2.1,B2,,B1-C1,A2,{not} enoughを除く;enoughがJJまたはNNと誤認識されていることもある,enough,enough,enough
euro,A1,noun,euro,noun,A2,,,,,,,,,,,,,,,,,,,,
even,A1,adverb,even,adjective,B1,,,,,,,,,,,,,,,,,,,,
even,A1,adverb,even,adverb,A2,,,,,,,,,,,,,,,,,,,,
evening,A1,noun,evening,noun,A1,,,,,,,,,,,,,,,,,,,,
event,A1,noun,event,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
ever,A1,adverb,ever,adverb,A2,,,,,,,,,,,,,,,,,,,,
every,A1,determiner,every,determiner,A1,,,,,,,,,,,,,,,,,,,,
everybody,A1,pronoun,everybody,pronoun,A1,,,,,,,,,,,,,,,,,,,,
everyone,A1,pronoun,everyone,pronoun,A1,,,,,,,,,,,,,,,,,,,,
everything,A1,pronoun,everything,pronoun,A1,,,,,,,,,,,,,,,,,,,,
exam,A1,noun,exam,noun,A2,,,,,,,,,,,,,,,,,,,,
example,A1,noun,example,noun,A1,,,,,,,,,,,,,,,,,,,,
excited,A1,adjective,excited,adjective,A1,,,,,,,,,,,,,,,,,,,,
exciting,A1,adjective,exciting,adjective,A1,,,,,,,,,,,,,,,,,,,,
exercise,A1,"noun, verb",exercise,noun,A2,Leisure activities,,"Free time, entertainment",,,,,,,,,,,,,,,,,
exercise,A1,"noun, verb",exercise,verb,A1,,,,,,,,,,,,,,,,,,,,
expensive,A1,adjective,expensive,adjective,A1,,,,,,,,,,,,,,,,,,,,
explain,A1,verb,explain,verb,A2,,,,,,,,200,INDSP.explain.report.say,INDIRECT SPEECH: SAY/EXPLAIN/REPORT,,A2.2,A2,B1-B2,"A1, B2",A2,動詞はexplain/report/sayに限定,explain.report.say,explain,explain
extra,A1,adjective,extra,adjective,A2,,,,,,,,,,,,,,,,,,,,
extra,A1,adjective,extra,adverb,A2,,,,,,,,,,,,,,,,,,,,
extra,A1,adjective,extra,noun,B1,,,,,,,,,,,,,,,,,,,,
eye,A1,noun,eye,noun,A1,,,Health and body care,,,,,,,,,,,,,,,,,
face,A1,noun,face,noun,A1,,,Health and body care,,,,,,,,,,,,,,,,,
face,A1,noun,face,verb,A2,,,,,,,,,,,,,,,,,,,,
fact,A1,noun,fact,noun,A2,,,,,,,,,,,,,,,,,,,,
fall,A1,verb,fall,noun,B1,,,,,,,,,,,,,,,,,,,,
fall,A1,verb,fall,verb,A2,,,,,,,,,,,,,,,,,,,,
false,A1,adjective,false,adjective,A1,,,,,,,,,,,,,,,,,,,,
family,A1,"noun, adjective",family,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
famous,A1,adjective,famous,adjective,A1,,,,,,,,,,,,,,,,,,,,
fantastic,A1,adjective,fantastic,adjective,A2,,,,,,,,,,,,,,,,,,,,
far,A1,adverb,far,adjective,B2,,,,,,,,,,,,,,,,,,,,
far,A1,adverb,far,adverb,A2,,,,,,,,,,,,,,,,,,,,
farm,A1,noun,farm,noun,A1,"Things in the town, shops and shopping",,"House and home, environment",,,,,,,,,,,,,,,,,
farmer,A1,noun,farmer,noun,A1,Work and Jobs,,Personal identification,,,,,,,,,,,,,,,,,
fast,A1,"adjective, adverb",fast,adjective,A1,,,,,,,,,,,,,,,,,,,,
fast,A1,"adjective, adverb",fast,adverb,A1,,,,,,,,,,,,,,,,,,,,
fat,A1,adjective,fat,adjective,A1,,,,,,,,,,,,,,,,,,,,
fat,A1,adjective,fat,noun,B2,,,,,,,,,,,,,,,,,,,,
father,A1,noun,father,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
favourite,A1,"adjective, noun",,,,,,,,,,,,,,,,,,,,,,,
february,A1,noun,february,noun,A1,,,,,,,,,,,,,,,,,,,,
feel,A1,verb,feel,noun,A2,,,,,,,,,,,,,,,,,,,,
feel,A1,verb,feel,verb,A1,,,,,,,,,,,,,,,,,,,,
feeling,A1,noun,feeling,noun,A1,,,,,,,,,,,,,,,,,,,,
festival,A1,noun,festival,noun,A1,Leisure activities,,"Free time, entertainment",,,,,,,,,,,,,,,,,
few,A1,"determiner, adjective, pronoun",few,determiner,A2,,,,,,,,20,QUANT.few,few PLURAL NOUN,,,B2,A2,B2,A2,a/another/every/nextが先行しないものに限定,few,few,few
few,A1,"determiner, adjective, pronoun",few,pronoun,B1,,,,,,,,20,QUANT.few,few PLURAL NOUN,,,B2,A2,B2,A2,a/another/every/nextが先行しないものに限定,few,few,few
fifteen,A1,,fifteen,number,A1,,,,,,,,,,,,,,,,,,,,
fifth,A1,,fifth,noun,B1,,,,,,,,,,,,,,,,,,,,
fifty,A1,,fifty,number,A1,,,,,,,,,,,,,,,,,,,,
fill,A1,verb,fill,verb,A1,,,,,,,,,,,,,,,,,,,,
film,A1,noun,film,noun,A2,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
film,A1,noun,film,verb,B1,,,,,,,,,,,,,,,,,,,,
final,A1,adjective,final,adjective,A2,,,,,,,,,,,,,,,,,,,,
final,A1,adjective,final,noun,A2,,,,,,,,,,,,,,,,,,,,
find,A1,verb,find,verb,A1,,,,,,,,,,,,,,,,,,,,
fine,A1,adjective,fine,adjective,A1,,,,,,,,,,,,,,,,,,,,
fine,A1,adjective,fine,adverb,B2,,,,,,,,,,,,,,,,,,,,
fine,A1,adjective,fine,noun,B1,,,,,,,,,,,,,,,,,,,,
fine,A1,adjective,fine,verb,B2,,,,,,,,,,,,,,,,,,,,
finish,A1,verb,finish,noun,A1,,,,,,,,,,,,,,,,,,,,
finish,A1,verb,finish,verb,A1,,,,,,,,,,,,,,,,,,,,
fire,A1,noun,fire,noun,A1,,,,,,,,,,,,,,,,,,,,
fire,A1,noun,fire,verb,B2,,,,,,,,,,,,,,,,,,,,
first,A1,"determiner, NA, adverb",first,adjective,A1,,,,,,,,,,,,,,,,,,,,
first,A1,"determiner, NA, adverb",first,adverb,A1,,,,,,,,,,,,,,,,,,,,
fish,A1,noun,fish,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
fish,A1,noun,fish,verb,B1,,,,,,,,,,,,,,,,,,,,
five,A1,,five,number,A1,,,,,,,,,,,,,,,,,,,,
flat,A1,noun,flat,adjective,B1,,,,,,,,,,,,,,,,,,,,
flat,A1,noun,flat,adverb,B2,,,,,,,,,,,,,,,,,,,,
flat,A1,noun,flat,noun,A1,"Things in the town, shops and shopping",,"House and home, environment",,,,,,,,,,,,,,,,,
flight,A1,noun,flight,noun,A2,Ways of travelling,,Travel,,,,,,,,,,,,,,,,,
floor,A1,noun,floor,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
flower,A1,noun,flower,noun,A1,,,,,,,,,,,,,,,,,,,,
fly,A1,verb,fly,noun,A1,Ways of travelling,,,,,,,,,,,,,,,,,,,
fly,A1,verb,fly,verb,A1,,,,,,,,,,,,,,,,,,,,
follow,A1,verb,follow,verb,A2,,,,,,,,,,,,,,,,,,,,
food,A1,noun,food,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
foot,A1,noun,foot,noun,B1,,,Health and body care,,,,,,,,,,,,,,,,,
football,A1,noun,football,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
for,A1,preposition,for,conjunction,A2,,,,,,,,,,,,,,,,,,,,
for,A1,preposition,for,preposition,A1,,,,,,,,,,,,,,,,,,,,
forget,A1,verb,forget,verb,A1,,,,,,,,,,,,,,,,,,,,
form,A1,"noun, verb",form,noun,A1,,,,,,,,,,,,,,,,,,,,
form,A1,"noun, verb",form,verb,B1,,,,,,,,,,,,,,,,,,,,
forty,A1,,forty,number,A1,,,,,,,,,,,,,,,,,,,,
four,A1,,four,number,A1,,,,,,,,,,,,,,,,,,,,
fourteen,A1,,fourteen,number,A1,,,,,,,,,,,,,,,,,,,,
fourth,A1,,,,,,,,,,,,,,,,,,,,,,,,
free,A1,adjective,free,adjective,A1,,,,,,,,,,,,,,,,,,,,
free,A1,adjective,free,adverb,A2,,,,,,,,,,,,,,,,,,,,
free,A1,adjective,free,verb,B2,,,,,,,,,,,,,,,,,,,,
friday,A1,noun,friday,noun,A1,,,,,,,,,,,,,,,,,,,,
friend,A1,noun,friend,noun,A1,Personal information,,Relations with other people,,,,,,,,,,,,,,,,,
friendly,A1,adjective,friendly,adjective,B2,,,,,,,,,,,,,,,,,,,,
from,A1,preposition,from,preposition,A1,,,,,,,,,,,,,,,,,,,,
front,A1,"noun, adjective",front,adjective,A1,,,,,,,,,,,,,,,,,,,,
front,A1,"noun, adjective",front,noun,A2,,,,,,,,,,,,,,,,,,,,
fruit,A1,noun,fruit,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
full,A1,adjective,full,adjective,A1,,,,,,,,,,,,,,,,,,,,
fun,A1,noun,fun,adjective,A1,,,,,,,,,,,,,,,,,,,,
fun,A1,noun,fun,noun,A1,"Adjectives: personality, description, feelings",,,,,,,,,,,,,,,,,,,
funny,A1,adjective,funny,adjective,A1,,,,,,,,,,,,,,,,,,,,
future,A1,noun,future,adjective,B1,,,,,,,,,,,,,,,,,,,,
future,A1,noun,future,noun,A1,,,,,,,,,,,,,,,,,,,,
game,A1,noun,game,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
garden,A1,noun,garden,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
geography,A1,noun,geography,noun,B1,Education,,Education,,,,,,,,,,,,,,,,,
get,A1,verb,get,verb,A1,,,,,,,,,,,,,,,,,,,,
girl,A1,noun,girl,noun,A1,,,Personal identification,,,,,,,,,,,,,,,,,
girlfriend,A1,noun,girlfriend,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
give,A1,verb,give,verb,A1,,,,,,,,,,,,,,,,,,,,
glass,A1,noun,glass,noun,A1,Objects and rooms,,Shopping,,,,,,,,,,,,,,,,,
go,A1,verb,go,noun,B1,,,,,,,,,,,,,,,,,,,,
go,A1,verb,go,verb,A1,,,,,,,,,,,,,,,,,,,,
good,A1,adjective,good,adjective,A1,,,,,,,,,,,,,,,,,,,,
good,A1,adjective,good,noun,B2,,,,,,,,,,,,,,,,,,,,
goodbye,A1,"exclamation, noun",,,,,,,,,,,,,,,,,,,,,,,
grandfather,A1,noun,grandfather,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
grandmother,A1,noun,grandmother,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
grandparent,A1,noun,grandparent,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
great,A1,adjective,great,adjective,A1,,,,,,,,,,,,,,,,,,,,
green,A1,"adjective, noun",green,adjective,A1,Colours,,,,,,,,,,,,,,,,,,,
green,A1,"adjective, noun",green,noun,A2,,,,,,,,,,,,,,,,,,,,
grey,A1,"adjective, noun",,,,,,,,,,,,,,,,,,,,,,,
group,A1,noun,group,noun,A1,,,Relations with other people,,,,,,,,,,,,,,,,,
